Model,Condition,N,Pass1 Acc,Final Acc,Delta Acc,Reversal Rate,Correct_to_Wrong,Wrong_to_Correct,Harmful Percent
GPT-4o-mini,A3,500,0.852,0.718,-0.134,0.186,80,13,86.02150537634408
GPT-4o-mini,A3-gated,500,0.852,0.796,-0.0559999999999999,0.108,41,13,75.92592592592592
Gemini-2.0-Flash,A3,500,0.874,0.822,-0.052,0.1,38,12,76.0
Gemini-2.0-Flash,A3-gated,500,0.874,0.872,-0.002,0.062,16,15,51.61290322580645
Claude-Sonnet-4,A3,306,0.8431372549019608,0.7156862745098039,-0.1274509803921568,0.218954248366013,53,14,79.1044776119403
Claude-Sonnet-4,A3-gated,306,0.8431372549019608,0.8366013071895425,-0.0065359477124182,0.1176470588235294,19,17,52.77777777777778
