Model,Model ID,Condition,N,Pass1 Acc,Final Acc,Delta Acc,Reversal Rate,Correct_to_Wrong,Wrong_to_Correct,Harmful Percent
Claude-Sonnet-4,anthropic/claude-sonnet-4,A1,305,0.8426229508196721,0.7278688524590164,-0.11475409836065564,0.19344262295081968,47,12,79.66101694915254
Claude-Sonnet-4,anthropic/claude-sonnet-4,A2,307,0.8403908794788274,0.8241042345276873,-0.016286644951140072,0.08143322475570032,15,10,60.0
GPT-4o-mini,openai/gpt-4o-mini,A1,499,0.8517034068136272,0.7915831663326653,-0.06012024048096187,0.10420841683366733,41,11,78.84615384615384
GPT-4o-mini,openai/gpt-4o-mini,A2,499,0.8517034068136272,0.8256513026052105,-0.02605210420841675,0.07014028056112225,24,11,68.57142857142857
Gemini-2.0-Flash,google/gemini-2.0-flash-001,A1,499,0.875751503006012,0.8416833667334669,-0.034068136272545124,0.08617234468937876,30,13,69.76744186046511
Gemini-2.0-Flash,google/gemini-2.0-flash-001,A2,500,0.874,0.836,-0.038000000000000034,0.082,30,11,73.17073170731707
