Model,Model ID,Condition,N,Pass1 Acc,Final Acc,Delta Acc,Reversal Rate,Correct_to_Wrong,Wrong_to_Correct,Harmful Percent
Claude-Sonnet-4,anthropic/claude-sonnet-4,A1,235,0.8382978723404255,0.7191489361702128,-0.11914893617021272,0.1702127659574468,34,6,85.0
Claude-Sonnet-4,anthropic/claude-sonnet-4,A2,235,0.8382978723404255,0.8212765957446808,-0.017021276595744705,0.059574468085106386,9,5,64.28571428571429
GPT-4o-mini,openai/gpt-4o-mini,A1,389,0.8586118251928021,0.7840616966580977,-0.07455012853470444,0.10539845758354756,35,6,85.36585365853658
GPT-4o-mini,openai/gpt-4o-mini,A2,389,0.8586118251928021,0.8303341902313625,-0.028277634961439646,0.05398457583547558,16,5,76.19047619047619
Gemini-2.0-Flash,google/gemini-2.0-flash-001,A1,376,0.8803191489361702,0.8377659574468085,-0.042553191489361764,0.06914893617021277,21,5,80.76923076923077
Gemini-2.0-Flash,google/gemini-2.0-flash-001,A2,376,0.8803191489361702,0.8377659574468085,-0.042553191489361764,0.06914893617021277,21,5,80.76923076923077
