model_id,model,n_paired,n_a3,prestige_pp,prestige_ci_lo,prestige_ci_hi,accuracy_pp,accuracy_ci_lo,accuracy_ci_hi,bootstrap_samples,prestige_seed,accuracy_seed
openai/gpt-5.6-terra,GPT-5.6-terra,250,250,6.800000000000001,4.0,10.0,-8.799999999999999,-13.200000000000001,-4.3999999999999995,50000,20260926,20260927
x-ai/grok-4.5,Grok-4.5,250,250,2.8000000000000003,0.0,5.6000000000000005,-4.8,-8.4,-1.6,50000,20260928,20260929
google/gemini-3.6-flash,Gemini-3.6-Flash,213,226,2.3474178403755865,-0.4694835680751174,5.164319248826291,-2.6548672566371683,-5.752212389380531,0.4424778761061947,50000,20260930,20260931
anthropic/claude-opus-4.8,Claude-Opus-4.8,249,249,-0.8032128514056224,-2.4096385542168677,0.8032128514056224,0.4016064257028112,-1.6064257028112447,2.4096385542168677,50000,20260932,20260933
