bucket,n,reversal_rate,share_of_reversals
|l2|<0.5,465.0,0.3914,0.1261
0.5-1,497.0,0.3662,0.1261
1-2,1077.0,0.337,0.2516
2-4,1988.0,0.1786,0.246
4-8,1397.0,0.1253,0.1213
>8,2513.0,0.074,0.1289
