model,condition,n,pass1_acc,pass2_acc,delta_acc_pp,C_to_W,W_to_C,mcnemar_p
Claude-Sonnet-4,A0,1985,0.8539,0.8131,-4.08,96,15,1.235835714472334e-15
Claude-Sonnet-4,A1,1986,0.853,0.6893,-16.36,372,47,7.847975882083476e-64
Claude-Sonnet-4,A3,1984,0.8533,0.6925,-16.08,395,76,5.028677195790613e-53
GPT-4o-mini,A0,1988,0.8697,0.8556,-1.41,48,20,0.0009143907212875583
GPT-4o-mini,A1,1986,0.8696,0.8112,-5.84,172,56,6.619834793604642e-15
GPT-4o-mini,A3,1986,0.8696,0.7593,-11.03,292,73,3.876525786536458e-32
Gemini-2.0-Flash,A0,1986,0.8978,0.862,-3.58,90,19,3.0984729664322627e-12
Gemini-2.0-Flash,A1,1984,0.8977,0.8054,-9.22,224,41,1.0602530191782996e-31
Gemini-2.0-Flash,A3,1987,0.8973,0.8289,-6.84,182,46,2.4978251715776767e-20
