model,cohort,n_paired,pass1_acc,delta_acc,A1,A3,n_A0,R_A0_1,R_A0_0,n_A1,R_A1_1,R_A1_0,n_A3,R_A3_1,R_A3_0,A0,selectivity,stable_correct,wrong_correct,correct_wrong,stable_wrong,P,P_lo,P_hi,RR,RR_lo,RR_hi,p,RR_undefined_draws,RR_seed,OR,OR_lo,OR_hi,OR_undefined_draws
GPT-4o-mini,full_benchmark,1986,0.8695871097683786,-11.027190332326283,11.48036253776435,18.37865055387714,1988,2.776171197223829,7.722007722007722,1986,9.95946728430805,21.62162162162162,1986,16.90793283149971,28.185328185328185,3.420523138832998,1.666988416988417,72.25579053373615,3.6757301107754277,14.70292044310171,9.365558912386707,6.9,5.64,8.16,1.601,1.469,1.757,8.466767576910587e-29,,,,,,
Claude-Sonnet-4,full_benchmark,1984,0.8533266129032258,-16.078629032258064,21.118951612903224,23.739919354838708,1985,5.663716814159292,5.172413793103448,1986,21.95985832349469,16.095890410958905,1984,23.331364441819254,26.11683848797251,5.591939546599496,1.1193875331680372,65.42338709677419,3.8306451612903225,19.909274193548388,10.836693548387096,2.62,1.31,3.93,1.124,1.062,1.192,8.995434119544256e-05,,,,,,
Gemini-2.0-Flash,full_benchmark,1984,0.8973326623049824,-6.844489179667841,13.356854838709678,11.491935483870968,1986,5.047672462142456,9.35960591133005,1984,12.57720381807973,20.19704433497537,1987,10.207515423443635,22.54901960784314,5.4884189325276935,2.2090605472958416,80.57372924006039,2.3150478107700048,9.159536990437847,7.9516859587317565,-1.86,-3.07,-0.66,0.86,0.779,0.947,0.0030544734849479,,,,,,
Llama-3.1-8B,full_benchmark,1988,0.8295625942684767,-2.262443438914027,18.158953722334005,23.390342052313883,1988,7.813446396123562,39.16913946587537,1988,10.06060606060606,57.692307692307686,1989,15.454545454545453,61.94690265486725,13.12877263581489,4.00832899531494,70.13574660633483,10.558069381598793,12.82051282051282,6.485671191553545,5.23,3.32,7.14,1.288,1.173,1.417,1.5579815884503625e-07,,,,,,
Mistral-7B,full_benchmark,1978,0.8767676767676768,-1.9191919191919191,13.043478260869565,18.048533872598586,1981,2.6512968299711814,16.666666666666664,1980,8.016147635524797,48.78048780487805,1980,11.405529953917052,65.57377049180327,4.391721352852095,5.749296241099519,77.67676767676768,8.080808080808081,10.0,4.242424242424243,5.01,3.89,6.17,1.384,1.286,1.496,5.723995795100052e-19,,,,,,
GPT-5.6-terra,250_item_controls,250,0.892,-8.799999999999999,6.800000000000001,13.600000000000001,250,3.587443946188341,22.22222222222222,250,5.829596412556054,14.814814814814813,250,12.556053811659194,22.22222222222222,5.6000000000000005,1.7698412698412698,78.0,2.4,11.200000000000001,8.4,6.800000000000001,4.0,10.0,2.0,1.5,3.0000000000000004,1.52587890625e-05,0.0,20261926.0,2.1574074074074074,1.5681818181818181,3.3448773448773443,0.0
Grok-4.5,250_item_controls,250,0.9,-4.8,5.2,8.0,250,0.8888888888888888,8.0,250,4.0,16.0,250,7.111111111111111,16.0,1.6,2.25,83.6,1.6,6.4,8.4,2.8000000000000003,0.0,5.6000000000000005,1.5384615384615385,1.0,2.625,0.09228515625,0.0,20261928.0,1.5852842809364547,1.0,2.774017467248908,0.0
Gemini-3.6-Flash,250_item_controls,213,0.8982300884955752,-2.6548672566371683,2.8169014084507045,5.164319248826291,224,2.512562814070352,8.0,221,3.015075376884422,0.0,226,4.433497536945813,13.043478260869565,3.125,2.942028985507246,85.84070796460178,1.3274336283185841,3.982300884955752,8.849557522123893,2.3474178403755865,-0.4694835680751174,5.164319248826291,1.8333333333333335,0.9166666666666667,5.0,0.1796875,0.0,20261930.0,1.8787128712871286,0.912128712871287,5.303030303030304,0.0
Claude-Opus-4.8,250_item_controls,249,0.891566265060241,0.4016064257028112,3.614457831325301,2.8112449799196786,249,1.3513513513513513,14.814814814814813,249,1.8018018018018018,18.51851851851852,249,1.3513513513513513,14.814814814814813,2.8112449799196786,10.962962962962962,87.95180722891565,1.6064257028112447,1.2048192771084338,9.236947791164658,-0.8032128514056224,-2.4096385542168677,0.8032128514056224,0.7777777777777778,0.39999999999999997,1.2857142857142856,0.625,2.0,20261932.0,0.7713498622589532,0.39020408163265297,1.2964285714285713,2.0
