domain,true_No,true_Yes,total,yes_rate
Law,167.0,633.0,800.0,0.7912
Medicine,338.0,552.0,890.0,0.6202
Science,105.0,194.0,299.0,0.6488
All,610.0,1379.0,1989.0,0.6933
