model,A0,A1,A3
Claude-Sonnet-4,1985,1986,1984
GPT-4o-mini,1988,1986,1986
Gemini-2.0-Flash,1986,1984,1987
Llama-3.1-8B,1988,1988,1989
Mistral-7B,1981,1980,1980
