domain,N,pass1,pass2,reversal
Law,3996,0.8591091091091091,0.7697697697697697,0.18743743743743743
Medicine,4435,0.8728297632468996,0.7932356257046224,0.22705749718151072
Science,1495,0.8595317725752508,0.8280936454849498,0.08762541806020067
