domain,N,pass1,pass2,reversal
Law,392,0.8852040816326531,0.8367346938775511,0.09438775510204081
Medicine,426,0.903755868544601,0.8732394366197183,0.0539906103286385
Science,157,0.8980891719745223,0.8535031847133758,0.08280254777070063
